"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Malfoy","Malfoy","You two go on. I want to check something.","you two go on. i want to check something.","you two go on. i want to check something."," two go .  want  check something."," two go   want  check something"," two go   want  check something"," two go want check something","two go want check someth","two go want check something"
"Malfoy","Harry","Didn't mummy ever tell you it's bad manners to eavesdrop, Potter? Perificus Totalus!","didn't mummy ever tell you it's bad manners to eavesdrop, potter? perificus totalus!","didn't mummy ever tell you it's bad manners to eavesdrop, potter? perificus totalus!"," mummy ever tell   bad manners  eavesdrop, potter? perificus totalus!"," mummy ever tell   bad manners  eavesdrop potter perificus totalus"," mummy ever tell   bad manners  eavesdrop potter perificus totalus"," mummy ever tell bad manners eavesdrop potter perificus totalus","mummi ever tell bad manner eavesdrop potter perificu totalu","mummy ever tell bad manner eavesdrop potter perificus totalus"
"Malfoy","Harry","Oh, right, she was dead before you could wipe the drool off your chin.","oh, right, she was dead before you could wipe the drool off your chin.","oh, right, she was dead before you could wipe the drool off your chin.","oh, right,   dead    wipe  drool   chin.","oh right   dead    wipe  drool   chin","oh right   dead    wipe  drool   chin","oh right dead wipe drool chin","oh right dead wipe drool chin","oh right dead wipe drool chin"
"Malfoy","Harry","Enjoy the ride back to London.","enjoy the ride back to london.","enjoy the ride back to london.","enjoy  ride back  london.","enjoy  ride back  london","enjoy  ride back  london","enjoy ride back london","enjoi ride back london","enjoy ride back london"
"Luna","Harry","Hello, Harry.","hello, harry.","hello, harry.","hello, harry.","hello harry","hello harry","hello harry","hello harri","hello harry"
"Harry","Luna","Luna. How'd you??","luna. how'd you??","luna. how'd you??","luna. 'd ??","luna d ","luna d ","luna d ","luna d","luna have"
"Luna","Harry","Wrackspurts. Your head's full of them.","wrackspurts. your head's full of them.","wrackspurts. your head's full of them.","wrackspurts.  head's full  .","wrackspurts  heads full  ","wrackspurts  heads full  ","wrackspurts heads full ","wrackspurt head full","wrackspurts head full"
"Harry","Luna","Sorry I made you miss the carriages, Luna.","sorry i made you miss the carriages, luna.","sorry i made you miss the carriages, luna.","sorry  made  miss  carriages, luna.","sorry  made  miss  carriages luna","sorry  made  miss  carriages luna","sorry made miss carriages luna","sorri made miss carriag luna","sorry make miss carriage luna"
"Luna","Harry","It's alright. I enjoyed our walk. It was like being with a friend.","it's alright. i enjoyed our walk. it was like being with a friend.","it's alright. i enjoyed our walk. it was like being with a friend."," alright.  enjoyed  walk.   like    friend."," alright  enjoyed  walk   like    friend"," alright  enjoyed  walk   like    friend"," alright enjoyed walk like friend","alright enjoi walk like friend","alright enjoy walk like friend"
"Harry","Luna","I am your friend, Luna.","i am your friend, luna.","i am your friend, luna.","   friend, luna.","   friend luna","   friend luna"," friend luna","friend luna","friend luna"
"Luna","Harry","That's nice.","that's nice.","that's nice."," nice."," nice"," nice"," nice","nice","nice"
"Flitwick","Harry, Luna","About time! I've been looking all over for you two. Names.","about time! i've been looking all over for you two. names.","about time! i've been looking all over for you two. names."," time!   looking     two. names."," time   looking     two names"," time   looking     two names"," time looking two names","time look two name","time look two name"
"Harry","Fltwick","Professor Flitwick, you've known me for five years.","professor flitwick, you've known me for five years.","professor flitwick, you've known me for five years.","professor flitwick,  known   five years.","professor flitwick  known   five years","professor flitwick  known   five years","professor flitwick known five years","professor flitwick known five year","professor flitwick know five year"
"Flitwick","Harry","No exceptions, Potter.","no exceptions, potter.","no exceptions, potter."," exceptions, potter."," exceptions potter"," exceptions potter"," exceptions potter","except potter","exception potter"
"Luna","Fltwick","Who are those people?","who are those people?","who are those people?","   people?","   people","   people"," people","peopl","people"
"Malfoy","Filch","It's a not a cane, you cretin. It's a walking stick.","it's a not a cane, you cretin. it's a walking stick.","it's a not a cane, you cretin. it's a walking stick.","    cane,  cretin.   walking stick.","    cane  cretin   walking stick","    cane  cretin   walking stick"," cane cretin walking stick","cane cretin walk stick","cane cretin walk stick"
"Filch","Malfoy","And what exactly would you be wanting with a walking stick?","and what exactly would you be wanting with a walking stick?","and what exactly would you be wanting with a walking stick?","  exactly    wanting   walking stick?","  exactly    wanting   walking stick","  exactly    wanting   walking stick"," exactly wanting walking stick","exactli want walk stick","exactly want walk stick"
"Snape","Filch","It was his father's","it was his father's","it was his father's","   father's","   fathers","   fathers"," fathers","father","father"
"Malfoy","Snape","Is my fater's. He's not dead.","is my fater's. he's not dead.","is my fater's. he's not dead.","  fater's.   dead.","  faters   dead","  faters   dead"," faters dead","fater dead","faters dead"
"Snape","Filch","It's a alright, Mr. Filch. I can vouch for Mr. Malfoy.","it's a alright, mr. filch. i can vouch for mr. malfoy.","it's a alright, mr. filch. i can vouch for mr. malfoy.","  alright, mr. filch.  can vouch  mr. malfoy.","  alright mr filch  can vouch  mr malfoy","  alright mr filch  can vouch  mr malfoy"," alright mr filch can vouch mr malfoy","alright mr filch can vouch mr malfoi","alright mr filch can vouch mr malfoy"
"Malfoy","Harry","Nice face, Potter.","nice face, potter.","nice face, potter.","nice face, potter.","nice face potter","nice face potter","nice face potter","nice face potter","nice face potter"
"Luna","Harry","Would you like me to fix it? Personally I think you lokk a bit more devil-may-care this way. But it's up to you.","would you like me to fix it? personally i think you lokk a bit more devil-may-care this way. but it's up to you.","would you like me to fix it? personally i think you lokk a bit more devil-may-care this way. but it's up to you.","  like   fix ? personally  think  lokk  bit  devil-may-care  way.     .","  like   fix  personally  think  lokk  bit  devilmaycare  way     ","  like   fix  personally  think  lokk  bit  devilmaycare  way     "," like fix personally think lokk bit devilmaycare way ","like fix person think lokk bit devilmaycar wai","like fix personally think lokk bite devilmaycare way"
"Harry","Luna","Have you ever fixed one? A nose.","have you ever fixed one? a nose.","have you ever fixed one? a nose.","  ever fixed one?  nose.","  ever fixed one  nose","  ever fixed one  nose"," ever fixed one nose","ever fix on nose","ever fix one nose"
"Luna","Harry","No. But I've done several toes and how different are they really?","no. but i've done several toes and how different are they really?","no. but i've done several toes and how different are they really?",".   done several toes   different   really?","   done several toes   different   really","   done several toes   different   really"," done several toes different really","done sever toe differ realli","do several toe different really"
"Harry","Luna","What the hell. Give it a go.","what the hell. give it a go.","what the hell. give it a go.","  hell. give   go.","  hell give   go","  hell give   go"," hell give go","hell give go","hell give go"
"Luna","Harry","Episkey","episkey","episkey","episkey","episkey","episkey","episkey","episkei","episkey"
"Harry","Luna","Well? How do I look?","well? how do i look?","well? how do i look?","well?    look?","well    look","well    look","well look","well look","good look"
"Luna","Harry","Exceptionally ordinary","exceptionally ordinary","exceptionally ordinary","exceptionally ordinary","exceptionally ordinary","exceptionally ordinary","exceptionally ordinary","exception ordinari","exceptionally ordinary"
"Harry","Luna","Brilliant.","brilliant.","brilliant.","brilliant.","brilliant","brilliant","brilliant","brilliant","brilliant"
"Ron","Hermione","Don't you worry. He'll be 'long soon 'nuff --","don't you worry. he'll be 'long soon 'nuff --","don't you worry. he'll be 'long soon 'nuff --","  worry.   'long soon 'nuff --","  worry   long soon nuff ","  worry   long soon nuff "," worry long soon nuff ","worri long soon nuff","worry long soon nuff"
"Hermione","Ron","Will. You. Stop. Eating! Your best friend is missing!","will. you. stop. eating! your best friend is missing!","will. you. stop. eating! your best friend is missing!","will. . stop. eating!  best friend  missing!","will  stop eating  best friend  missing","will  stop eating  best friend  missing","will stop eating best friend missing","will stop eat best friend miss","will stop eat good friend miss"
"Ron","Hermione","Oi! Trun around, you lunatic.","oi! trun around, you lunatic.","oi! trun around, you lunatic.","o! trun around,  lunatic.","o trun around  lunatic","o trun around  lunatic","o trun around lunatic","o trun around lunat","o trun around lunatic"
"Ginny","Hermione, Ron ","He's covered in blood again. Why is it he's always coverd in blood?","he's covered in blood again. why is it he's always coverd in blood?","he's covered in blood again. why is it he's always coverd in blood?"," covered  blood .     always coverd  blood?"," covered  blood      always coverd  blood"," covered  blood      always coverd  blood"," covered blood always coverd blood","cover blood alwai coverd blood","cover blood always coverd blood"
"Ron","Ginny","Looks like his own this time.","looks like his own this time.","looks like his own this time.","looks like    time.","looks like    time","looks like    time","looks like time","look like time","look like time"
"Hermione","Harry","Where've you been, Haryy? And what happened to your face?","where've you been, haryy? and what happened to your face?","where've you been, haryy? and what happened to your face?","'ve  , haryy?   happened   face?","ve   haryy   happened   face","ve   haryy   happened   face","ve haryy happened face","ve haryi happen face","have haryy happen face"
"Harry","Hermione","Later. What've I missed?","later. what've i missed?","later. what've i missed?","later. 've  missed?","later ve  missed","later ve  missed","later ve missed","later ve miss","late have miss"
"Ron","Harry","Sorting Hat urged us all to be brave and strong in these troubled times -- easy for it to say -- it's a hat, isn't it? First Years seemed to enjoy it, though. Wankers. Filch give you the wand outside.","sorting hat urged us all to be brave and strong in these troubled times -- easy for it to say -- it's a hat, isn't it? first years seemed to enjoy it, though. wankers. filch give you the wand outside.","sorting hat urged us all to be brave and strong in these troubled times -- easy for it to say -- it's a hat, isn't it? first years seemed to enjoy it, though. wankers. filch give you the wand outside.","sorting hat urged us    brave  strong   troubled times -- easy    say --   hat,  ? first years seemed  enjoy , though. wankers. filch give   wand outside.","sorting hat urged us    brave  strong   troubled times  easy    say    hat   first years seemed  enjoy  though wankers filch give   wand outside","sorting hat urged us    brave  strong   troubled times  easy    say    hat   first years seemed  enjoy  though wankers filch give   wand outside","sorting hat urged us brave strong troubled times easy say hat first years seemed enjoy though wankers filch give wand outside","sort hat urg u brave strong troubl time easi sai hat first year seem enjoi though wanker filch give wand outsid","sort hat urge us brave strong trouble time easy say hat first year seem enjoy though wanker filch give wand outside"
"Harry","Ron","Thanks?","thanks?","thanks?","thanks?","thanks","thanks","thanks","thank","thank"
"Hermione","Dumbledore","What's happened to his hand?","what's happened to his hand?","what's happened to his hand?"," happened   hand?"," happened   hand"," happened   hand"," happened hand","happen hand","happen hand"
"Dumbledore","Students","The very best of evenings to you! First off, please join me in welcoming the newest member of our staff, Horace Slughorn.","the very best of evenings to you! first off, please join me in welcoming the newest member of our staff, horace slughorn.","the very best of evenings to you! first off, please join me in welcoming the newest member of our staff, horace slughorn.","  best  evenings  ! first , please join   welcoming  newest member   staff, horace slughorn.","  best  evenings   first  please join   welcoming  newest member   staff horace slughorn","  best  evenings   first  please join   welcoming  newest member   staff horace slughorn"," best evenings first please join welcoming newest member staff horace slughorn","best even first pleas join welcom newest member staff horac slughorn","good evening first please join welcome new member staff horace slughorn"
"Dumbledore","Students","Professor Slughorn, I?m happy to say, has agreed to resume his old post of Potions master. Meanwhile the post of Defense Against the Dark Arts will be assumed by Professor Snape. ","professor slughorn, i?m happy to say, has agreed to resume his old post of potions master. meanwhile the post of defense against the dark arts will be assumed by professor snape. ","professor slughorn, i?m happy to say, has agreed to resume his old post of potions master. meanwhile the post of defense against the dark arts will be assumed by professor snape. ","professor slughorn, ?m happy  say,  agreed  resume  old post  potions master. meanwhile  post  defense   dark arts will  assumed  professor snape. ","professor slughorn m happy  say  agreed  resume  old post  potions master meanwhile  post  defense   dark arts will  assumed  professor snape ","professor slughorn m happy  say  agreed  resume  old post  potions master meanwhile  post  defense   dark arts will  assumed  professor snape ","professor slughorn m happy say agreed resume old post potions master meanwhile post defense dark arts will assumed professor snape ","professor slughorn m happi sai agre resum old post potion master meanwhil post defens dark art will assum professor snape","professor slughorn be happy say agree resume old post potion master meanwhile post defense dark art will assume professor snape"
"Dumbledore","Students","Now, as you know, each and every one of you was searched upon your arrival tonight. You have a right to know why.","now, as you know, each and every one of you was searched upon your arrival tonight. you have a right to know why.","now, as you know, each and every one of you was searched upon your arrival tonight. you have a right to know why.","now,   know,   every one    searched upon  arrival tonight.    right  know .","now   know   every one    searched upon  arrival tonight    right  know ","now   know   every one    searched upon  arrival tonight    right  know ","now know every one searched upon arrival tonight right know ","now know everi on search upon arriv tonight right know","now know every one search upon arrival tonight right know"
"Dumbledore","Students","Once there was a young man who, like you, sat in this very Hall. Walked this castle's corridors. Slept beneath its roof. He seemed, to all the world, a student like any other. His name? Tom Riddle.","once there was a young man who, like you, sat in this very hall. walked this castle's corridors. slept beneath its roof. he seemed, to all the world, a student like any other. his name? tom riddle.","once there was a young man who, like you, sat in this very hall. walked this castle's corridors. slept beneath its roof. he seemed, to all the world, a student like any other. his name? tom riddle.","    young man , like , sat    hall. walked  castle's corridors. slept beneath  roof.  seemed,    world,  student like  .  name? tom riddle.","    young man  like  sat    hall walked  castles corridors slept beneath  roof  seemed    world  student like    name tom riddle","    young man  like  sat    hall walked  castles corridors slept beneath  roof  seemed    world  student like    name tom riddle"," young man like sat hall walked castles corridors slept beneath roof seemed world student like name tom riddle","young man like sat hall walk castl corridor slept beneath roof seem world student like name tom riddl","young man like sit hall walk castle corridor sleep beneath roof seem world student like name tom riddle"
"Dumbledore","Students","Today, of course the world knows him by another name. Which is why, as I stand looking out upon you all tonight, I am remined of a sobering fact. Each day, every hour, this very minute perhaps, dark forces attempt to penetrate this castle. But in the end, Their greatest weapon remains...you.","today, of course the world knows him by another name. which is why, as i stand looking out upon you all tonight, i am remined of a sobering fact. each day, every hour, this very minute perhaps, dark forces attempt to penetrate this castle. but in the end, their greatest weapon remains...you.","today, of course the world knows him by another name. which is why, as i stand looking out upon you all tonight, i am remined of a sobering fact. each day, every hour, this very minute perhaps, dark forces attempt to penetrate this castle. but in the end, their greatest weapon remains...you.","today,  course  world knows   another name.   ,   stand looking  upon   tonight,   remined   sobering fact.  day, every hour,   minute perhaps, dark forces attempt  penetrate  castle.    end,  greatest weapon remains....","today  course  world knows   another name      stand looking  upon   tonight   remined   sobering fact  day every hour   minute perhaps dark forces attempt  penetrate  castle    end  greatest weapon remains","today  course  world knows   another name      stand looking  upon   tonight   remined   sobering fact  day every hour   minute perhaps dark forces attempt  penetrate  castle    end  greatest weapon remains","today course world knows another name stand looking upon tonight remined sobering fact day every hour minute perhaps dark forces attempt penetrate castle end greatest weapon remains","todai cours world know anoth name stand look upon tonight remin sober fact dai everi hour minut perhap dark forc attempt penetr castl end greatest weapon remain","today course world know another name stand look upon tonight remined sober fact day every hour minute perhaps dark force attempt penetrate castle end great weapon remain"
"Dumbledore","Students","Just something to keep in mind. Now, off to bed. Pip pip!","just something to keep in mind. now, off to bed. pip pip!","just something to keep in mind. now, off to bed. pip pip!","just something  keep  mind. now,   bed. pip pip!","just something  keep  mind now   bed pip pip","just something  keep  mind now   bed pip pip","just something keep mind now bed pip pip","just someth keep mind now bed pip pip","just something keep mind now bed pip pip"
"Ron","Harry","That was cheerful.","that was cheerful.","that was cheerful.","  cheerful.","  cheerful","  cheerful"," cheerful","cheer","cheerful"
"Professor Mcgonagall","Students","History of Magic is up, ladies, not down. Mr. Davies -- that's the girl's toilet?","history of magic is up, ladies, not down. mr. davies -- that's the girl's toilet?","history of magic is up, ladies, not down. mr. davies -- that's the girl's toilet?","history  magic  , ladies,  . mr. davies --   girl's toilet?","history  magic   ladies   mr davies    girls toilet","history  magic   ladies   mr davies    girls toilet","history magic ladies mr davies girls toilet","histori magic ladi mr davi girl toilet","history magic lady mr davies girl toilet"
"Professor Mcgonagall","Harry","Potter!","potter!","potter!","potter!","potter","potter","potter","potter","potter"
"Harry","Ron","This can't be good.","this can't be good.","this can't be good.","   good.","   good","   good"," good","good","good"
"Professor Mcgonagall","Harry","Enjoying ourself, are we?","enjoying ourself, are we?","enjoying ourself, are we?","enjoying ourself,  ?","enjoying ourself  ","enjoying ourself  ","enjoying ourself ","enjoi ourself","enjoy ourself"
"Harry","Professor Mcgonagall","Well, you see, I've got an open period this morning, Professor --","well, you see, i've got an open period this morning, professor --","well, you see, i've got an open period this morning, professor --","well,  see,  got  open period  morning, professor --","well  see  got  open period  morning professor ","well  see  got  open period  morning professor ","well see got open period morning professor ","well see got open period morn professor","good see get open period morning professor"
"Professor Mcgonagall","Harry","So I noticed. I would think you'd want to fill it with Potions. Or is it no longer your ambition to become an Auror?","so i noticed. i would think you'd want to fill it with potions. or is it no longer your ambition to become an auror?","so i noticed. i would think you'd want to fill it with potions. or is it no longer your ambition to become an auror?","  noticed.   think  want  fill   potions.     longer  ambition  become  auror?","  noticed   think  want  fill   potions     longer  ambition  become  auror","  noticed   think  want  fill   potions     longer  ambition  become  auror"," noticed think want fill potions longer ambition become auror","notic think want fill potion longer ambit becom auror","notice think want fill potion long ambition become auror"
"Harry","Professor Mcgonagall","It is. Or was. But I was told I had to get an Outstanding in my O.W.L. --","it is. or was. but i was told i had to get an outstanding in my o.w.l. --","it is. or was. but i was told i had to get an outstanding in my o.w.l. --"," .  .    told    get  outstanding   o.w.l. --","       told    get  outstanding   owl ","       told    get  outstanding   owl "," told get outstanding owl ","told get outstand owl","tell get outstanding owl"
"Professor Mcgonagall","Harry","And so you did when Professor Snape was teaching Potions. However, Professor Slughorn is perfectly happy to accept N.E.W.T. students with 'Exceeds Expectations.'","and so you did when professor snape was teaching potions. however, professor slughorn is perfectly happy to accept n.e.w.t. students with 'exceeds expectations.'","and so you did when professor snape was teaching potions. however, professor slughorn is perfectly happy to accept n.e.w.t. students with 'exceeds expectations.'","     professor snape  teaching potions. however, professor slughorn  perfectly happy  accept n.e.w.t. students  'exceeds expectations.'","     professor snape  teaching potions however professor slughorn  perfectly happy  accept newt students  exceeds expectations","     professor snape  teaching potions however professor slughorn  perfectly happy  accept newt students  exceeds expectations"," professor snape teaching potions however professor slughorn perfectly happy accept newt students exceeds expectations","professor snape teach potion howev professor slughorn perfectli happi accept newt student exce expect","professor snape teach potion however professor slughorn perfectly happy accept newt student exceed expectation"
"Harry","Professor Mcgonagall","Really? Well? brilliant. I'll head there straight way.","really? well? brilliant. i'll head there straight way.","really? well? brilliant. i'll head there straight way.","really? well? brilliant.  head  straight way.","really well brilliant  head  straight way","really well brilliant  head  straight way","really well brilliant head straight way","realli well brilliant head straight wai","really good brilliant head straight way"
"Professor Mcgonagall","Harry","Good. And take Weasley with you. He looks far too happy over there.","good. and take weasley with you. he looks far too happy over there.","good. and take weasley with you. he looks far too happy over there.","good.  take weasley  .  looks far  happy  .","good  take weasley    looks far  happy  ","good  take weasley    looks far  happy  ","good take weasley looks far happy ","good take weaslei look far happi","good take weasley look far happy"
"Ron","Harry","But I don?t want to take Potions!","but i don?t want to take potions!","but i don?t want to take potions!","  don?t want  take potions!","  dont want  take potions","  dont want  take potions"," dont want take potions","dont want take potion","do want take potion"
"Slughorn","Harry","Harry m?boy! I was beginning to worry! And I see we?ve brought someone with us?","harry m?boy! i was beginning to worry! and i see we?ve brought someone with us?","harry m?boy! i was beginning to worry! and i see we?ve brought someone with us?","harry m?boy!   beginning  worry!   see ?ve brought someone  us?","harry mboy   beginning  worry   see ve brought someone  us","harry mboy   beginning  worry   see ve brought someone  us","harry mboy beginning worry see ve brought someone us","harri mboi begin worri see ve brought someon u","harry mboy begin worry see have bring someone us"
"Ron","Professor Mcgonagall","Ron Weasley, sir. But I?m dead awful at Potions, a menace actually, so I probably should just be going --","ron weasley, sir. but i?m dead awful at potions, a menace actually, so i probably should just be going --","ron weasley, sir. but i?m dead awful at potions, a menace actually, so i probably should just be going --","ron weasley, sir.  ?m dead awful  potions,  menace actually,   probably  just  going --","ron weasley sir  m dead awful  potions  menace actually   probably  just  going ","ron weasley sir  m dead awful  potions  menace actually   probably  just  going ","ron weasley sir m dead awful potions menace actually probably just going ","ron weaslei sir m dead aw potion menac actual probabl just go","ron weasley sir be dead awful potion menace actually probably just go"
"Slughorn","Ron","Nonsense, we?ll sort you out. Any friend of Harry?s is a friend of mine. Right then, books out --","nonsense, we?ll sort you out. any friend of harry?s is a friend of mine. right then, books out --","nonsense, we?ll sort you out. any friend of harry?s is a friend of mine. right then, books out --","nonsense, ?ll sort  .  friend  harry?s   friend  mine. right , books  --","nonsense ll sort    friend  harrys   friend  mine right  books  ","nonsense ll sort    friend  harrys   friend  mine right  books  ","nonsense ll sort friend harrys friend mine right books ","nonsens ll sort friend harri friend mine right book","nonsense will sort friend harrys friend mine right book"
"Harry","Professor Mcgonagall","Um, sorry, sir, but I haven?t got my book yet -- nor?s Ron. You see -- (until this morning...)","um, sorry, sir, but i haven?t got my book yet -- nor?s ron. you see -- (until this morning...)","um, sorry, sir, but i haven?t got my book yet -- nor?s ron. you see -- (until this morning...)","um, sorry, sir,   haven?t got  book yet -- ?s ron.  see -- (  morning...)","um sorry sir   havent got  book yet  s ron  see    morning","um sorry sir   havent got  book yet  s ron  see    morning","um sorry sir havent got book yet s ron see morning","um sorri sir havent got book yet  ron see morn","um sorry sir havent get book yet s ron see morning"
"Slughorn","Harry","Not to worry. You can get what you need from the cupboard.","not to worry. you can get what you need from the cupboard.","not to worry. you can get what you need from the cupboard.","  worry.  can get   need   cupboard.","  worry  can get   need   cupboard","  worry  can get   need   cupboard"," worry can get need cupboard","worri can get need cupboard","worry can get need cupboard"
"Slughorn","Students","Now, as I was saying, I?ve prepared a few concoctions this prepared a few concoctions this might be? Yes, Miss...?","now, as i was saying, i?ve prepared a few concoctions this prepared a few concoctions this might be? yes, miss...?","now, as i was saying, i?ve prepared a few concoctions this prepared a few concoctions this might be? yes, miss...?","now,    saying, ?ve prepared   concoctions  prepared   concoctions  might ? yes, miss...?","now    saying ve prepared   concoctions  prepared   concoctions  might  yes miss","now    saying ve prepared   concoctions  prepared   concoctions  might  yes miss","now saying ve prepared concoctions prepared concoctions might yes miss","now sai ve prepar concoct prepar concoct might ye miss","now say have prepare concoction prepare concoction may yes miss"
"Hermione","Slughorn","Granger, sir. That one there is Veritaserum. And that would be Polyjuice Potion. And that?","granger, sir. that one there is veritaserum. and that would be polyjuice potion. and that?","granger, sir. that one there is veritaserum. and that would be polyjuice potion. and that?","granger, sir.  one   veritaserum.     polyjuice potion.  ?","granger sir  one   veritaserum     polyjuice potion  ","granger sir  one   veritaserum     polyjuice potion  ","granger sir one veritaserum polyjuice potion ","granger sir on veritaserum polyjuic potion","granger sir one veritaserum polyjuice potion"
"Hermione","Slughorn","... is Amortentia! The most powerful love potion in the world.","... is amortentia! the most powerful love potion in the world.","... is amortentia! the most powerful love potion in the world.","...  amortentia!   powerful love potion   world.","  amortentia   powerful love potion   world","  amortentia   powerful love potion   world"," amortentia powerful love potion world","amortentia power love potion world","amortentia powerful love potion world"
"Hermione","Slughorn","It?s rumored to smell differently to each person, according to what attracts them. For example, I smell freshly mown grass and new parchment and spearmint toothpaste --","it?s rumored to smell differently to each person, according to what attracts them. for example, i smell freshly mown grass and new parchment and spearmint toothpaste --","it?s rumored to smell differently to each person, according to what attracts them. for example, i smell freshly mown grass and new parchment and spearmint toothpaste --","?s rumored  smell differently   person, according   attracts .  example,  smell freshly mown grass  new parchment  spearmint toothpaste --","s rumored  smell differently   person according   attracts   example  smell freshly mown grass  new parchment  spearmint toothpaste ","s rumored  smell differently   person according   attracts   example  smell freshly mown grass  new parchment  spearmint toothpaste ","s rumored smell differently person according attracts example smell freshly mown grass new parchment spearmint toothpaste "," rumor smell differ person accord attract exampl smell freshli mown grass new parchment spearmint toothpast","s rumor smell differently person accord attract example smell freshly mow grass new parchment spearmint toothpaste"
"Slughorn","Students","One of my best friends is Muggle-born. She?s the best in our year...","one of my best friends is muggle-born. she?s the best in our year...","one of my best friends is muggle-born. she?s the best in our year...","one   best friends  muggle-born. ?s  best   year...","one   best friends  muggleborn s  best   year","one   best friends  muggleborn s  best   year","one best friends muggleborn s best year","on best friend muggleborn  best year","one good friend muggleborn s good year"
"Slughorn","Students","Now Amortentia doesn?t create actual love, of course. That?s impossible. But it does cause a powerful infatuation or obsession. For that reason, it is probably the most dangerous potion in this room.","now amortentia doesn?t create actual love, of course. that?s impossible. but it does cause a powerful infatuation or obsession. for that reason, it is probably the most dangerous potion in this room.","now amortentia doesn?t create actual love, of course. that?s impossible. but it does cause a powerful infatuation or obsession. for that reason, it is probably the most dangerous potion in this room.","now amortentia doesn?t create actual love,  course. ?s impossible.    cause  powerful infatuation  obsession.   reason,   probably   dangerous potion   room.","now amortentia doesnt create actual love  course s impossible    cause  powerful infatuation  obsession   reason   probably   dangerous potion   room","now amortentia doesnt create actual love  course s impossible    cause  powerful infatuation  obsession   reason   probably   dangerous potion   room","now amortentia doesnt create actual love course s impossible cause powerful infatuation obsession reason probably dangerous potion room","now amortentia doesnt creat actual love cours  imposs caus power infatu obsess reason probabl danger potion room","now amortentia doesnt create actual love course s impossible cause powerful infatuation obsession reason probably dangerous potion room"
"Katie Bell","Slughorn","Sir, you haven't told us what's in that one.","sir, you haven't told us what's in that one.","sir, you haven't told us what's in that one.","sir,   told us    one.","sir   told us    one","sir   told us    one","sir told us one","sir told u on","sir tell us one"
"Slughorn","Katie Bell","Ah yes?","ah yes?","ah yes?","ah yes?","ah yes","ah yes","ah yes","ah ye","ah yes"
"Slughorn","Katie Bell","What you see before you, ladies and gentlemen, is a curious little potion known as Felix Felicis. But it is more commonly referred to as --","what you see before you, ladies and gentlemen, is a curious little potion known as felix felicis. but it is more commonly referred to as --","what you see before you, ladies and gentlemen, is a curious little potion known as felix felicis. but it is more commonly referred to as --","  see  , ladies  gentlemen,   curious little potion known  felix felicis.     commonly referred   --","  see   ladies  gentlemen   curious little potion known  felix felicis     commonly referred   ","  see   ladies  gentlemen   curious little potion known  felix felicis     commonly referred   "," see ladies gentlemen curious little potion known felix felicis commonly referred ","see ladi gentlemen curiou littl potion known felix felici commonli refer","see lady gentleman curious little potion know felix felicis commonly refer"
"Hermione","Slughorn","Liquid luck.","liquid luck.","liquid luck.","liquid luck.","liquid luck","liquid luck","liquid luck","liquid luck","liquid luck"
"Slughorn","Hermione","Yes, Miss Granger. Desperately tricky to make. Disastrous should you get it wrong. But brewed correctly, as this has been, it has remarkable powers. One sip and you will find that all your endeavors succeed... at least until the effects wear off.","yes, miss granger. desperately tricky to make. disastrous should you get it wrong. but brewed correctly, as this has been, it has remarkable powers. one sip and you will find that all your endeavors succeed... at least until the effects wear off.","yes, miss granger. desperately tricky to make. disastrous should you get it wrong. but brewed correctly, as this has been, it has remarkable powers. one sip and you will find that all your endeavors succeed... at least until the effects wear off.","yes, miss granger. desperately tricky  make. disastrous   get  wrong.  brewed correctly,    ,   remarkable powers. one sip   will find    endeavors succeed...  least   effects wear .","yes miss granger desperately tricky  make disastrous   get  wrong  brewed correctly       remarkable powers one sip   will find    endeavors succeed  least   effects wear ","yes miss granger desperately tricky  make disastrous   get  wrong  brewed correctly       remarkable powers one sip   will find    endeavors succeed  least   effects wear ","yes miss granger desperately tricky make disastrous get wrong brewed correctly remarkable powers one sip will find endeavors succeed least effects wear ","ye miss granger desper tricki make disastr get wrong brew correctli remark power on sip will find endeavor succe least effect wear","yes miss granger desperately tricky make disastrous get wrong brew correctly remarkable power one sip will find endeavor succeed less effect wear"
"Katie Bell","Slughorn","But then why don?t people drink it all the time?","but then why don?t people drink it all the time?","but then why don?t people drink it all the time?","   don?t people drink    time?","   dont people drink    time","   dont people drink    time"," dont people drink time","dont peopl drink time","do people drink time"
"Slughorn","Katie Bell","Because taken in excess it causes giddiness, recklessness and dangerous overconfidence.","because taken in excess it causes giddiness, recklessness and dangerous overconfidence.","because taken in excess it causes giddiness, recklessness and dangerous overconfidence."," taken  excess  causes giddiness, recklessness  dangerous overconfidence."," taken  excess  causes giddiness recklessness  dangerous overconfidence"," taken  excess  causes giddiness recklessness  dangerous overconfidence"," taken excess causes giddiness recklessness dangerous overconfidence","taken excess caus giddi reckless danger overconfid","take excess cause giddiness recklessness dangerous overconfidence"
"Blaise","Slughorn","Have you ever taken it, sir?","have you ever taken it, sir?","have you ever taken it, sir?","  ever taken , sir?","  ever taken  sir","  ever taken  sir"," ever taken sir","ever taken sir","ever take sir"
